Rent ID,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Province_id,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Rent_191,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone43,Neighbourhood94,Dwelling1
Rent_192,510.0,620.0,730.0,0.0,705.0,2018,Province4,centre6,Zone43,Neighbourhood94,Dwelling2
Rent_193,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone44,Neighbourhood95,Dwelling1
Rent_194,600.0,608.0,712.0,1033.0,735.0,2018,Province4,centre6,Zone44,Neighbourhood95,Dwelling2
Rent_195,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone45,Neighbourhood96,Dwelling1
Rent_196,0.0,0.0,0.0,0.0,732.0,2018,Province4,centre6,Zone45,Neighbourhood96,Dwelling2
Rent_197,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone45,Neighbourhood97,Dwelling1
Rent_198,562.0,601.0,707.0,868.0,708.0,2018,Province4,centre6,Zone45,Neighbourhood97,Dwelling2
Rent_199,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone45,Neighbourhood98,Dwelling1
Rent_200,0.0,574.0,752.0,813.0,739.0,2018,Province4,centre6,Zone45,Neighbourhood98,Dwelling2
Rent_201,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone46,Neighbourhood99,Dwelling1
Rent_202,0.0,692.0,801.0,1050.0,867.0,2018,Province4,centre6,Zone46,Neighbourhood99,Dwelling2
Rent_203,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone46,Neighbourhood100,Dwelling1
Rent_204,628.0,785.0,883.0,1220.0,888.0,2018,Province4,centre6,Zone46,Neighbourhood100,Dwelling2
Rent_205,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone47,Neighbourhood101,Dwelling1
Rent_206,592.0,620.0,729.0,851.0,709.0,2018,Province4,centre6,Zone47,Neighbourhood101,Dwelling2
Rent_207,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone48,Neighbourhood102,Dwelling1
Rent_208,773.0,798.0,731.0,776.0,762.0,2018,Province4,centre6,Zone48,Neighbourhood102,Dwelling2
Rent_209,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone49,Neighbourhood103,Dwelling1
Rent_210,0.0,0.0,762.0,0.0,740.0,2018,Province4,centre6,Zone49,Neighbourhood103,Dwelling2
Rent_211,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone49,Neighbourhood104,Dwelling1
